DAY,Section,ROOM1,8 TO 9,ROOM2,9 TO 10,ROOM3,10-11,ROOM4,11 TO 12,ROOM5,12 TO 1,ROOM6,1 TO 2
MON,CSE-1,A-LH-004,CN,A-DL-008,DAA(L),A-DL-008,DAA(L),B-201,EE,B-201,SE,B-201,X
TUE,CSE-1,---,X,---,X,---,X,---,X,---,X,---,X
WED,CSE-1,A-DL-008,DAA,A-DL-008,CN(L),A-DL-008,CN(L),---,X,---,X,---,X
THU,CSE-1,B-201,DAA,B-201,SE,B-201,CN,A-LH-104,EE,---,X,---,X
FRI,CSE-1,B-201,SE,B-201,DAA,B-201,EE,---,X,---,X,---,X
SAT,CSE-1,---,X,---,X,---,X,B-201,CN,B-201,SE,B-201,X
,,,,,,,,,,,,,
DAY,Section,ROOM1,8 TO 9,ROOM2,9 TO 10,ROOM3,10-11,ROOM4,11 TO 12,ROOM5,12 TO 1,ROOM6,1 TO 2
MON,CSE-2,---,X,B-404,X,B-404,SE,---,X,---,X,---,X
TUE,CSE-2,A-DL-008,CN,A-DL-008,DAA(L),A-DL-008,DAA(L),B-201,SE,B-201,DAA,B-201,EE
WED,CSE-2,---,X,---,X,---,X,---,X,---,X,---,X
THU,CSE-2,---,X,A-LH-201,X,A-LH-201,EE,A-DL-008,DAA,A-DL-008,CN(L),A-DL-008,CN(L)
FRI,CSE-2,B-202,CN,B-202,SE,B-202,EE,---,X,---,X,---,X
SAT,CSE-2,B-201,SE,B-201,DAA,B-201,CN,---,X,---,X,---,X
,,,,,,,,,,,,,
DAY,Section,ROOM1,8 TO 9,ROOM2,9 TO 10,ROOM3,10-11,ROOM4,11 TO 12,ROOM5,12 TO 1,ROOM6,1 TO 2
MON,CSE-3,---,X,B-201,DAA,B-201,EE,A-DL-008,CN,A-DL-008,CN(L),A-DL-008,CN(L)
TUE,CSE-3,B-201,CN,B-201,EE,B-201,DAA,A-LH-010,SE,---,X,---,X
WED,CSE-3,B-205,SE,WL-101,DAA(L),WL-101,DAA(L),---,X,---,X,---,X
THU,CSE-3,---,X,---,X,---,X,---,X,---,X,---,X
FRI,CSE-3,B-203,EE,B-203,DAA,B-203,SE,---,X,---,X,---,X
SAT,CSE-3,---,X,B-202,X,B-202,SE,B-202,CN,---,X,---,X
,,,,,,,,,,,,,
DAY,Section,ROOM1,8 TO 9,ROOM2,9 TO 10,ROOM3,10-11,ROOM4,11 TO 12,ROOM5,12 TO 1,ROOM6,1 TO 2
MON,CSE-4,---,X,B-202,X,B-202,EE,B-202,SE,B-202,CN,B-202,X
TUE,CSE-4,B-202,EE,B-202,CN,B-202,SE,---,X,---,X,---,X
WED,CSE-4,B-201,DAA,B-201,SE,B-201,EE,---,X,---,X,---,X
THU,CSE-4,A-LH-104,CN,A-DL-008,DAA(L),A-DL-008,DAA(L),A-LH-206,DAA,---,X,---,X
FRI,CSE-4,---,X,---,X,---,X,---,X,---,X,---,X
SAT,CSE-4,---,X,A-LH-104,X,A-LH-104,SE,A-DL-008,DAA,A-DL-008,CN(L),A-DL-008,CN(L)
,,,,,,,,,,,,,
DAY,Section,ROOM1,8 TO 9,ROOM2,9 TO 10,ROOM3,10-11,ROOM4,11 TO 12,ROOM5,12 TO 1,ROOM6,1 TO 2
MON,CSE-5,---,X,B-203,SE,B-203,EE,WL-101,DAA,WL-101,CN(L),WL-101,CN(L)
TUE,CSE-5,---,X,B-203,CN,B-203,SE,B-202,EE,B-202,DAA,B-202,X
WED,CSE-5,B-202,SE,B-202,EE,B-202,DAA,---,X,---,X,---,X
THU,CSE-5,---,X,---,X,---,X,B-201,SE,B-201,CN,B-201,X
FRI,CSE-5,A-DL-008,CN,A-DL-008,DAA(L),A-DL-008,DAA(L),---,X,---,X,---,X
SAT,CSE-5,---,X,---,X,---,X,---,X,---,X,---,X
,,,,,,,,,,,,,
