DAY,Section(DE),ROOM1,8-9,ROOM2,9-10,ROOM3,10-11,ROOM4,11-12,ROOM5,12-1,ROOM6,1-2,ROOM7,3-4,ROOM8,4-5,ROOM9,5-6
MON,HPC_CS-1,---,X,---,X,---,X,---,X,---,X,---,X,B-201,HPC(DE),---,X,---,X
MON,HPC_CS-2,---,X,---,X,---,X,---,X,---,X,---,X,---,X,B-201,HPC(DE),---,X
MON,HPC_CS-3,---,X,---,X,---,X,---,X,---,X,---,X,B-202,HPC(DE),---,X,---,X
MON,HPC_CS-4,---,X,---,X,---,X,---,X,---,X,---,X,---,X,B-202,HPC(DE),---,X
MON,HPC_CS-5,---,X,---,X,---,X,---,X,---,X,---,X,B-203,HPC(DE),---,X,---,X
MON,HPC_CS-6,---,X,---,X,---,X,---,X,---,X,---,X,---,X,B-203,HPC(DE),---,X
MON,HPC_CS-7,---,X,---,X,---,X,---,X,---,X,---,X,B-204,HPC(DE),---,X,---,X
MON,HPC_CS-8,---,X,---,X,---,X,---,X,---,X,---,X,---,X,B-204,HPC(DE),---,X
MON,HPC_CS-9,---,X,---,X,---,X,---,X,---,X,---,X,B-205,HPC(DE),---,X,---,X
MON,HPC_CS-10,---,X,---,X,---,X,---,X,---,X,---,X,---,X,B-205,HPC(DE),---,X
MON,HPC_CS-11,---,X,---,X,---,X,---,X,---,X,---,X,B-206,HPC(DE),---,X,---,X
MON,HPC_CS-12,---,X,---,X,---,X,---,X,---,X,---,X,---,X,B-206,HPC(DE),---,X
MON,HPC_CS-13,---,X,---,X,---,X,---,X,---,X,---,X,B-301,HPC(DE),---,X,---,X
MON,HPC_CS-14,---,X,---,X,---,X,---,X,---,X,---,X,---,X,B-301,HPC(DE),---,X
MON,HPC_CS-15,---,X,---,X,---,X,---,X,---,X,---,X,B-302,HPC(DE),---,X,---,X
MON,HPC_CS-16,---,X,---,X,---,X,---,X,---,X,---,X,---,X,B-302,HPC(DE),---,X
MON,HPC_CS-17,---,X,---,X,---,X,---,X,---,X,---,X,B-303,HPC(DE),---,X,---,X
MON,HPC_CS-18,---,X,---,X,---,X,---,X,---,X,---,X,---,X,B-303,HPC(DE),---,X
MON,HPC_CS-19,---,X,---,X,---,X,---,X,---,X,---,X,B-304,HPC(DE),---,X,---,X
MON,HPC_CS-20,---,X,---,X,---,X,---,X,---,X,---,X,B-305,HPC(DE),---,X,---,X
MON,HPC_CS-21,---,X,---,X,---,X,---,X,---,X,---,X,---,X,B-304,HPC(DE),---,X
MON,DOS_CS-1,---,X,---,X,---,X,---,X,---,X,---,X,B-306,DOS(DE),---,X,---,X
MON,DOS_CS-2,---,X,---,X,---,X,---,X,---,X,---,X,---,X,B-305,DOS(DE),---,X
MON,DOS_CS-3,---,X,---,X,---,X,---,X,---,X,---,X,B-401,DOS(DE),---,X,---,X
MON,DOS_CS-4,---,X,---,X,---,X,---,X,---,X,---,X,---,X,B-306,DOS(DE),---,X
MON,DOS_CS-5,---,X,---,X,---,X,---,X,---,X,---,X,B-402,DOS(DE),---,X,---,X
MON,DOS_CS-6,---,X,---,X,---,X,---,X,---,X,---,X,---,X,B-401,DOS(DE),---,X
MON,DOS_CS-7,---,X,---,X,---,X,---,X,---,X,---,X,B-403,DOS(DE),---,X,---,X
MON,DOS_CS-8,---,X,---,X,---,X,---,X,---,X,---,X,---,X,B-402,DOS(DE),---,X
MON,DOS_CS-9,---,X,---,X,---,X,---,X,---,X,---,X,B-404,DOS(DE),---,X,---,X
MON,DOS_CS-10,---,X,---,X,---,X,---,X,---,X,---,X,---,X,B-403,DOS(DE),---,X
MON,DOS_CS-11,---,X,---,X,---,X,---,X,---,X,---,X,B-405,DOS(DE),---,X,---,X
MON,DOS_CS-12,---,X,---,X,---,X,---,X,---,X,---,X,---,X,B-404,DOS(DE),---,X
MON,DOS_CS-13,---,X,---,X,---,X,---,X,---,X,---,X,B-406,DOS(DE),---,X,---,X
MON,DOS_CS-14,---,X,---,X,---,X,---,X,---,X,---,X,---,X,B-405,DOS(DE),---,X
MON,DOS_CS-15,---,X,---,X,---,X,---,X,---,X,---,X,A-LH-003,DOS(DE),---,X,---,X
MON,DOS_CS-16,---,X,---,X,---,X,---,X,---,X,---,X,A-LH-004,DOS(DE),---,X,---,X
MON,DOS_CS-17,---,X,---,X,---,X,---,X,---,X,---,X,---,X,B-406,DOS(DE),---,X
MON,DOS_CS-18,---,X,---,X,---,X,---,X,---,X,---,X,A-LH-005,DOS(DE),---,X,---,X
MON,DOS_CS-19,---,X,---,X,---,X,---,X,---,X,---,X,---,X,A-LH-003,DOS(DE),---,X
MON,DOS_CS-20,---,X,---,X,---,X,---,X,---,X,---,X,A-LH-009,DOS(DE),---,X,---,X
MON,DOS_CS-21,---,X,---,X,---,X,---,X,---,X,---,X,---,X,A-LH-004,DOS(DE),---,X
MON,DOS_CS-22,---,X,---,X,---,X,---,X,---,X,---,X,A-LH-010,DOS(DE),---,X,---,X
MON,DOS_CS-23,---,X,---,X,---,X,---,X,---,X,---,X,---,X,A-LH-005,DOS(DE),---,X
MON,DOS_CS-24,---,X,---,X,---,X,---,X,---,X,---,X,A-LH-104,DOS(DE),---,X,---,X
MON,DOS_CS-25,---,X,---,X,---,X,---,X,---,X,---,X,---,X,A-LH-009,DOS(DE),---,X
MON,DOS_CS-26,---,X,---,X,---,X,---,X,---,X,---,X,A-LH-105,DOS(DE),---,X,---,X
MON,DOS_CS-27,---,X,---,X,---,X,---,X,---,X,---,X,---,X,A-LH-010,DOS(DE),---,X
MON,DOS_CS-28,---,X,---,X,---,X,---,X,---,X,---,X,A-LH-107,DOS(DE),---,X,---,X
MON,DOS_CS-29,---,X,---,X,---,X,---,X,---,X,---,X,---,X,A-LH-104,DOS(DE),---,X
MON,DOS_CS-30,---,X,---,X,---,X,---,X,---,X,---,X,A-LH-109,DOS(DE),---,X,---,X
MON,DOS_CS-31,---,X,---,X,---,X,---,X,---,X,---,X,---,X,A-LH-105,DOS(DE),---,X
MON,DOS_CS-32,---,X,---,X,---,X,---,X,---,X,---,X,A-LH-110,DOS(DE),---,X,---,X
MON,DOS_CS-33,---,X,---,X,---,X,---,X,---,X,---,X,A-LH-206,DOS(DE),---,X,---,X
MON,DOS_CS-34,---,X,---,X,---,X,---,X,---,X,---,X,---,X,A-LH-107,DOS(DE),---,X
MON,DOS_CS-35,---,X,---,X,---,X,---,X,---,X,---,X,---,X,A-LH-109,DOS(DE),---,X
MON,CI_CS-1,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
MON,CI_CS-2,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
MON,CI_CS-3,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
MON,CI_CS-4,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
MON,CI_CS-5,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
MON,CI_CS-6,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
MON,CI_CS-7,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
MON,CI_CS-8,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
MON,CI_CS-9,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
MON,CI_CS-10,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
MON,CI_CS-11,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
MON,CI_CS-12,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
MON,CI_CS-13,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
MON,CI_CS-14,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
MON,CD_CS-1,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
MON,CD_CS-2,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
MON,CD_CS-3,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
MON,CD_CS-4,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
MON,DMDW_CS-1,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
MON,DMDW_CS-2,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
MON,DMDW_CS-3,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
MON,DMDW_CS-4,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
MON,DMDW_CS-5,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
MON,DMDW_CS-6,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
MON,DMDW_CS-7,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
MON,DMDW_CS-8,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
MON,DMDW_CS-9,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
MON,DMDW_CS-10,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
MON,DMDW_CS-11,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
MON,DMDW_CS-12,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
MON,DMDW_CS-13,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
MON,DMDW_CS-14,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
MON,DMDW_CS-15,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
MON,DMDW_CS-16,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
MON,DMDW_CS-17,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
MON,DMDW_CS-18,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
MON,DMDW_CS-19,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
MON,DMDW_CS-20,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
MON,DMDW_CS-21,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
MON,DMDW_CS-22,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
MON,DMDW_CS-23,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
MON,DMDW_CS-24,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X,---,X
