Roll No.,Professional Elective 1,Professional Elective 2,Core Section
21051086,DMDW_CS-10,HPC_CS-4,CSE-21
21051241,DMDW_CS-8,HPC_CS-2,CSE-12
21051399,DMDW_CS-3,DOS_CS-14,CSE-08
21051602,DMDW_CS-33,HPC_CS-21,
21052348,DMDW_CS-21,HPC_CS-16,CSE-38
21052691,DMDW_CS-19,DOS_CS-26,
21053204,DMDW_CS-11,DOS_CS-8,CSE-51
2205001,DMDW_CS-12,DOS_CS-7,CSE-07
2205002,DMDW_CS-32,HPC_CS-4,CSE-03
2205003,DMDW_CS-8,DOS_CS-10,CSE-24
2205004,CI_CS-12,HPC_CS-7,CSE-07
2205005,CI_CS-12,HPC_CS-2,CSE-30
2205006,DMDW_CS-28,HPC_CS-2,CSE-33
2205007,DMDW_CS-18,DOS_CS-27,CSE-33
2205008,DMDW_CS-9,DOS_CS-3,CSE-14
2205009,DMDW_CS-21,DOS_CS-9,CSE-07
2205010,DMDW_CS-28,HPC_CS-2,CSE-33
2205011,DMDW_CS-23,HPC_CS-10,CSE-14
2205012,CI_CS-2,HPC_CS-6,CSE-22
2205013,DMDW_CS-5,DOS_CS-2,CSE-19
2205014,CI_CS-2,HPC_CS-4,CSE-07
2205015,DMDW_CS-5,DOS_CS-14,CSE-16
2205016,DMDW_CS-6,HPC_CS-3,CSE-45
2205017,CI_CS-5,DOS_CS-21,CSE-01
2205018,CI_CS-1,HPC_CS-5,CSE-16
2205019,DMDW_CS-34,HPC_CS-16,CSE-13
2205020,DMDW_CS-8,HPC_CS-3,CSE-21
2205021,DMDW_CS-21,DOS_CS-9,CSE-07
2205023,DMDW_CS-4,DOS_CS-22,CSE-44
2205024,DMDW_CS-8,HPC_CS-4,CSE-39
2205025,DMDW_CS-32,HPC_CS-4,CSE-03
2205026,CI_CS-12,HPC_CS-7,CSE-07
2205027,CI_CS-12,HPC_CS-7,CSE-07
2205028,CI_CS-2,DOS_CS-8,CSE-26
2205029,CI_CS-10,DOS_CS-18,CSE-27
2205030,DMDW_CS-28,DOS_CS-15,CSE-49
2205031,DMDW_CS-6,DOS_CS-22,CSE-33
2205032,DMDW_CS-18,HPC_CS-15,CSE-28
2205033,DMDW_CS-27,HPC_CS-9,CSE-08
2205034,CI_CS-2,DOS_CS-6,CSE-28
2205035,DMDW_CS-35,DOS_CS-2,CSE-14
2205036,DMDW_CS-24,DOS_CS-26,CSE-51
2205037,CI_CS-5,HPC_CS-12,CSE-23
2205038,DMDW_CS-25,HPC_CS-12,CSE-51
2205039,DMDW_CS-2,DOS_CS-22,CSE-35
2205040,DMDW_CS-5,DOS_CS-8,CSE-17
2205041,CI_CS-2,DOS_CS-6,CSE-47
2205042,DMDW_CS-34,HPC_CS-16,CSE-16
2205043,DMDW_CS-4,DOS_CS-30,CSE-32
2205044,DMDW_CS-17,DOS_CS-22,CSE-18
2205045,CI_CS-5,HPC_CS-16,CSE-23
2205046,CI_CS-8,DOS_CS-1,CSE-19
2205047,DMDW_CS-2,DOS_CS-22,CSE-35
2205048,DMDW_CS-25,HPC_CS-1,CSE-19
2205050,DMDW_CS-25,HPC_CS-12,CSE-51
2205051,DMDW_CS-36,DOS_CS-5,CSE-18
2205052,DMDW_CS-11,DOS_CS-6,CSE-45
2205053,DMDW_CS-5,HPC_CS-19,CSE-28
2205054,DMDW_CS-18,DOS_CS-22,CSE-18
2205055,DMDW_CS-5,DOS_CS-2,CSE-44
2205057,CD_CS-2,DOS_CS-13,CSE-14
2205059,DMDW_CS-37,HPC_CS-10,CSE-39
2205060,DMDW_CS-25,DOS_CS-19,CSE-53
2205061,DMDW_CS-34,DOS_CS-28,CSE-33
2205062,DMDW_CS-21,DOS_CS-4,CSE-53
2205063,CI_CS-11,HPC_CS-9,CSE-37
2205064,DMDW_CS-8,HPC_CS-19,CSE-19
2205065,DMDW_CS-21,DOS_CS-15,CSE-14
2205066,DMDW_CS-11,DOS_CS-6,CSE-45
2205067,DMDW_CS-2,HPC_CS-13,CSE-18
2205068,DMDW_CS-5,DOS_CS-10,CSE-43
2205069,DMDW_CS-37,HPC_CS-4,CSE-32
2205070,CI_CS-6,HPC_CS-2,CSE-37
2205071,CI_CS-12,HPC_CS-7,CSE-41
2205072,DMDW_CS-9,DOS_CS-1,CSE-28
2205073,DMDW_CS-21,DOS_CS-28,CSE-55
2205074,DMDW_CS-5,HPC_CS-5,CSE-22
2205075,CI_CS-11,HPC_CS-3,CSE-37
2205076,CD_CS-2,HPC_CS-19,CSE-37
2205077,DMDW_CS-8,HPC_CS-10,CSE-37
2205078,DMDW_CS-6,HPC_CS-4,CSE-13
2205079,DMDW_CS-5,DOS_CS-1,CSE-13
2205080,DMDW_CS-6,DOS_CS-19,CSE-09
2205081,DMDW_CS-12,DOS_CS-28,CSE-13
2205082,CI_CS-4,HPC_CS-6,CSE-33
2205083,DMDW_CS-9,DOS_CS-1,CSE-28
2205084,CI_CS-1,DOS_CS-6,CSE-19
2205085,DMDW_CS-12,DOS_CS-13,CSE-13
2205086,CI_CS-1,DOS_CS-10,CSE-16
2205087,DMDW_CS-23,HPC_CS-14,CSE-47
2205088,CI_CS-5,HPC_CS-9,CSE-35
2205089,DMDW_CS-8,DOS_CS-4,CSE-50
2205091,DMDW_CS-30,DOS_CS-5,CSE-44
2205092,DMDW_CS-18,HPC_CS-4,CSE-09
2205093,DMDW_CS-37,HPC_CS-14,CSE-26
2205094,DMDW_CS-4,HPC_CS-2,CSE-05
2205095,DMDW_CS-18,DOS_CS-27,CSE-33
2205096,CD_CS-4,HPC_CS-1,CSE-02
2205097,DMDW_CS-3,HPC_CS-3,CSE-21
2205098,DMDW_CS-27,DOS_CS-19,CSE-08
2205099,DMDW_CS-37,DOS_CS-5,CSE-18
2205100,CI_CS-5,HPC_CS-9,CSE-46
22051000,DMDW_CS-4,HPC_CS-3,CSE-30
22051001,CI_CS-1,DOS_CS-10,CSE-20
22051002,CI_CS-4,DOS_CS-13,CSE-43
22051003,DMDW_CS-32,DOS_CS-27,CSE-27
22051004,DMDW_CS-34,HPC_CS-14,CSE-49
22051005,DMDW_CS-9,HPC_CS-3,CSE-30
22051006,DMDW_CS-17,DOS_CS-18,CSE-43
22051007,DMDW_CS-27,DOS_CS-21,CSE-30
